word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
a p a m u j	37152	189232	6
a p a m u j k u	73692	752240	8
a p a m u j m a ɲ ʧ u	117737	2180250	11
a p a n	23868	50004	4
a p a n a ɲ ʧ i x	116244	1221786	9
a p a n a n t a	98118	853251	8
a p a n a p a x	66384	560852	8
a p a n a w a ŋ k u p a x	168265	3988438	13
a p a ɲ ʧ i x	86202	489801	7
a p a n m a n	57726	441195	7
a p a n r i	86238	380718	6
a p a ŋ k u	57023	295583	6
a p a ɴ q a ŋ k u	82601	1059658	9
a p a p u n a	76272	470594	7
a p a p u s q a j k u	118170	2298162	11
a p a r i m o r̞ q a	127688	1787923	10
a p a r i m o r̞ q a ŋ k u	175873	4828512	13
a p a r i m u n	100851	996250	8
a p a r i m u n i	123819	1460986	9
a p a r i m u s p a	125220	1751273	10
a p a r i m u x	92035	780938	8
a p a r i m u j k u	129126	2061806	10
a p a r i n a j p a x	134316	2126195	11
a p a r i s q a	100044	810672	8
a p a r i j k u k u j t a w a n	273310	11186793	16
a p a r p a m u x	99781	1108874	9
a p a r p a r i n	147744	1776999	9
a p a r̞ q a m u j	83322	970327	9
a p a r̞ q a ŋ k u	103121	1299628	9
a p a r̞ q a j k u	92646	1210343	9
a p a s a n	41688	229896	6
a p a s a ɲ ʧ i x	104094	1082835	9
a p a s a r̞ q a ŋ k u	120905	2343352	11
a p a s a j k u	64818	684038	8
a p a s p a	42120	199824	6
a p a s q a	41256	195528	6
a p a s q a n	56106	423096	7
a p a s q a j k i	75816	986998	9
a p a w a n	58320	290088	6
a p a w a ŋ k u	89675	885749	8
a p a x	16380	29844	4
a p a x k u n a	95066	770702	8
a p a x t i n	72102	505843	7
a p a j a ʧ a s a r̞ q a j k u	153414	5873658	15
a p a j a ʧ a j k u	88254	1508345	10
a p a j a ʧ a j p i	78300	1264720	10
a p a j k a ʧ a ʧ i k u s a n	222036	7731718	15
a p a j k a ʧ a ʧ i x	130548	2259242	11
a p a j k a ʧ a k o r̞ q a	172176	4247880	13
a p a j k a ʧ a k u n a	167127	3451550	12
a p a j k a ʧ a k u n a m p a x	204153	7539835	16
a p a j k a ʧ a k u n a n	186729	4828310	13
a p a j k a ʧ a k u ŋ k u	186441	4969795	13
a p a j k a ʧ a n	96804	1197031	9
