word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
o g s ə ŋ	90886	315142	5
u n ə ŋ	58941	111037	4
o r g ə ŋ	109446	365614	5
a n	0	0	2
s a r	35409	35409	3
x u ʧʰ	40293	40293	3
χ ɔ ɮ p ɔ tʰ ɔ i	238005	2240307	8
m o ɴ ɢ	48246	90496	4
a tʲ ə ɮ	85470	170940	4
tʰ e t	38688	38688	3
a m	0	0	2
u n t s ə ŋ	112111	556954	6
ʧʰ a t ə x g u i	215688	2053426	8
n ɔ m	27675	27675	3
p u rʲ i ŋ	114718	290322	5
p a i χ t a	109692	534744	6
ɔ r s ə ŋ	107300	354052	5
χ ʊ ɢ ə ʦʰ a n t	177827	1599337	8
χ aa n	23328	23328	3
t ʊ ɢ a r	86658	324578	5
p a i ɢ a g	106557	507986	6
ʦ a m	26400	26400	3
u ʦ t ə g	106671	363322	5
x i m ʧ e	86625	341550	5
s ɔ nʲ ə ŋ	102080	304988	5
χ a tʰ ə t ə ŋ	171961	1058050	7
oo rʲ i g o	135861	514742	5
u ʦ ə ɮ	87616	182077	4
a mʲ t r ə ɮ	147342	732904	6
j aa ʧ	31680	31680	3
x i s ə g tʰ	132443	662786	6
ɢ a r	31746	31746	3
χ a m ɢ a ɮ ə χ	179061	1592749	8
n ʊ tʰ ə ɢ tʰ	129152	600317	6
a ŋ g ɮʲ i ŋ	116215	524040	6
x u ʧʰ ə ŋ	112332	332464	5
ʊʊ ɮ	0	0	2
ʊ ʧʰ r a s	115995	357786	5
g i x ə t	109725	344750	5
p a i ɢ ʊ ɮ ɮ ə ɢ	244845	2641713	9
s ʊ r ɢ ʊ ɮʲ	134079	720110	6
ʦ o w	35776	35776	3
i m ə g tʰ e	127878	677982	6
p a i r	65340	121506	4
ʧ i ʧ ə g	111639	357786	5
ɢ a t a t	92070	290636	5
x u ŋ	26862	26862	3
m a n a i	81081	272646	5
χ a r ʧ	73260	135630	4
tʰ ɔ ɮ ɢ ɔ i	162606	845492	6
s uu ɮʲ i ŋ	121278	323755	5
ɢ a r ɢ ə s ə ŋ	190291	1625250	8
a ʧ ə ɮ ɮ ə ɢ a	254116	2214709	8
ʦ a s ə g	97150	325592	5
u j e r	86580	181041	4
j i r ə ŋ xʲ i ɮ ə g ʧʰ	315042	5655900	11
ɔ r ə n t	124061	407758	5
ʊ s	0	0	2
a ʧ e	42471	42471	3
t ʊ r tʰ a i	150843	728318	6
ɢ ɔ j	31980	31980	3
