word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
g a L X a	2310	7814	5
g a L X u	2436	9257	5
g a m a	2200	4279	4
g a m P i	3960	14343	5
g a n a	2860	5236	4
g a n X a	2145	7402	5
g a n t a	4719	13900	5
g a n u	3289	6313	4
g a p a	2200	4279	4
g a P a	2420	4598	4
g a P u	2783	5555	4
g a p u	2530	5176	4
g a	0	0	2
g a r i	3850	7450	4
g a r X a	2310	7814	5
g a r X u	2436	9257	5
g a s a	2420	4598	4
g a s X a	1815	6578	5
g a s X i	1980	8638	5
g a s k i	3762	13528	5
g a s t u	4389	14591	5
g a t a	2640	4917	4
g a w c i	3807	14271	5
g a w n a	3465	11734	5
g a w s u	3366	12332	5
g a w u	2277	4797	4
g a y	990	990	3
g a y w a	2970	9940	5
g i c i	4800	8832	4
g i l a	4800	7869	4
g i l i	6000	10464	4
g i L i m a	9600	39448	6
g i L p a	5796	16680	5
g i L P a	6174	17603	5
g i l u	5520	9426	4
g i n c u	6552	20450	5
g i n X u	3042	11441	5
g i N a	3840	6612	4
g i P a	3520	6193	4
g i r i	5600	9920	4
g i r p a	5796	16680	5
g i r u	5152	8932	4
g i s a	3520	6193	4
g i s X i	2640	11273	5
g i s N i	5808	20228	5
g i s p i	5104	18238	5
g i s t u	5544	18526	5
g i s u	4048	7450	4
g i T a	4160	7031	4
g i w c a	4212	14271	5
g i y a	3200	5774	4
g u c i	4200	7944	4
g u c u	3864	7140	4
g u X u	966	3108	4
g u k a	2520	4797	4
g u l i	5250	9426	4
g u L X u	2940	10934	5
g u L u	4508	8036	4
g u l u	4830	8484	4
g u m a	2800	5176	4
g u m i	3500	6956	4
g u m P i	4560	16680	5
g u m u	3220	6244	4
g u n u	4186	7588	4
g u N u	3864	7140	4
g u P a	3080	5555	4
g u r k i	5544	18292	5
g u s a	3080	5555	4
g u s i L a	8778	38225	6
g u s X i	2376	10219	5
g u s k i	4356	15757	5
g u s u	3542	6692	4
g u t a	3360	5934	4
g u T i	4550	8438	4
g u t i	4200	7944	4
g u t u	3864	7140	4
g u y X u	2100	8698	5
g u y k a	3510	11647	5
g u y m a	3760	12366	5
k a c a	2640	4917	4
k a c i	3300	6612	4
k a c u	3036	5934	4
k a l a n X a	6303	37361	7
k a l c a	5445	15282	5
k a l i	4125	7869	4
k a L a c i	7040	35279	6
k a L c a	5082	14591	5
k a m a	2200	4279	4
k a m i l u	8510	38025	6
k a m s a	3410	11198	5
k a n i	3575	7031	4
k a n X a	2145	7402	5
k a p a	2200	4279	4
k a p i	2750	5774	4
k a p u n a	6352	28724	6
k a r a h u	5852	28544	6
k a r u m a	7042	29927	6
k a s a	2420	4598	4
k a s t a	3993	12518	5
k a s t i	4653	15973	5
k a s u	2783	5555	4
k a t a	2640	4917	4
k a t u	3036	5934	4
k a w X i	1620	7584	5
k a y a	2200	4279	4
k a y X u	1740	7333	5
k a y u	2530	5176	4
K a c a	2772	5302	4
K a c i	3432	7112	4
K a h L a	3762	13085	5
K a k a	2079	4279	4
K a X a	693	2233	4
K a L u	3696	7196	4
K a m u	2640	5580	4
K a n k a L i	7854	59412	7
K a n X a	2288	7914	5
K a n u	3432	6792	4
K a p a	2310	4620	4
K a r i	4004	8004	4
K a r k a	4312	13085	5
K a r X a	2464	8351	5
K a r s u	5390	17030	5
K a r u	3696	7196	4
K a s a	2541	4961	4
K a T a	3003	5643	4
K a y a	2310	4620	4
K i c u	4608	8528	4
K i	0	0	2
K i r X i	3584	14116	5
K i r u	5376	9576	4
K i s t u	5720	19572	5
K i t a	4032	7112	4
K i T a	4368	7558	4
K i t i	4992	9472	4
K i t u	4608	8528	4
K i w i	3744	7744	4
K u c i	4368	8528	4
K u k a t a	5286	27521	6
K u l a	4410	7600	4
K u L u	4704	8624	4
K u m a	2940	5580	4
K u m u	3360	6720	4
K u n u	4368	8148	4
K u r i	5096	9576	4
K u r X u	3136	11648	5
K u r k u	5488	17696	5
K u s a	3234	5984	4
K u s X a	2365	8351	5
K u s X u	2464	9878	5
K u s u	3696	7196	4
K u y a	2940	5580	4
K u y z u k i	8288	61432	7
K u y k a	3650	12366	5
K u y u	3360	6720	4
k i c u	4416	7944	4
k i h a	2880	5355	4
k i X i	1200	3936	4
k i X p a	1242	8111	5
k i L i	5600	9920	4
k i m s a	4410	14343	5
k i N a	3840	6612	4
k i p a	3200	5774	4
k i p X a	2250	8111	5
k i w u	3312	6462	4
k u c u	3864	7140	4
k u l i	5250	9426	4
k u L a X a	4745	20246	6
k u L i	4900	8932	4
k u L t a	5964	16952	5
k u m p a	3760	12366	5
k u m p u	4060	14424	5
k u n a	3640	6313	4
k u n i	4550	8438	4
k u n X a	2613	8776	5
k u p i	3500	6956	4
k u	0	0	2
k u r h i	5544	18292	5
k u r m i	5964	19332	5
k u r s i y a	9904	61495	7
k u r u m i	8708	41312	6
k u s a	3080	5555	4
k u s i	3850	7450	4
k u s u p i	7322	36602	6
k u t i	4200	7944	4
k u t u	3864	7140	4
k u y X u	2100	8698	5
k u y p a	3760	12366	5
l a h u	2871	7071	4
l a g u	2871	7071	4
l a k a	2574	5874	4
l a k i	3069	7869	4
l a X a	858	3168	4
l a m a	2860	6325	4
l a m p a	3850	14535	5
l a n k a	4719	16066	5
l a n K u	5395	19677	5
l a n t i	6357	23717	5
l a b a c a	5632	31412	6
l a p a k a	4939	27398	6
l a P a	3146	6776	4
l a P i	3751	9031	4
l a G a	2860	6325	4
l a G o	3080	7175	4
l a q a	2860	6325	4
l a Q a	3146	6776	4
l a Q o	3388	7678	4
l a r z u	6510	22784	5
l a r k a	5082	16850	5
l a r P a	5698	18788	5
l a r q a	5390	17819	5
l a r u	4466	9716	4
l a s d a	4719	17072	5
l a s u	3509	8129	4
l a d u	3828	8658	4
l a w a	2574	5874	4
l a x a	2574	5874	4
l a x	1485	1485	3
l a x w i	3672	16500	5
l a y a	2860	6325	4
l a y i	3410	8450	4
l a y k u	3900	15961	5
l a y m i	4350	18460	5
l a y q a	3850	14535	5
l e G e	4960	11200	4
l e r G o	7420	24712	5
l i c i	5952	12672	4
l i h u	4176	9426	4
l i g i	4464	10464	4
l i m i	4960	11200	4
l i m d a	5640	20462	5
l i n g u	6630	23453	5
l i n r i	8944	32266	5
l i b a	4160	8450	4
l i b i c i	9952	55912	6
l i b o	4480	9550	4
l i s u	5104	10774	4
l i w a	3744	7869	4
l i w i	4464	10464	4
l i w h a	4347	16500	5
l i w K a n a	7593	61438	7
l i y i	4960	11200	4
L a c u	3696	8204	4
L a h a	2475	5555	4
L a h X a	1980	7814	5
L a k i	2970	7450	4
L a L a	3850	7700	4
L a m i	3300	8004	4
L a m K a	3740	13874	5
L a m b u	4040	16136	5
L a p a	2750	5984	4
L a P i	3630	8558	4
L a q a	2750	5984	4
L a t a	3300	6842	4
L a w z a	3762	14591	5
L a w z i	4302	18526	5
L a w i	2970	7450	4
L a w X i	2115	10219	5
L a w s a	3564	13838	5
L a w u	2772	6692	4
L a y T a	4400	16241	5
L e n G e	7072	25756	5
L e Q a	4400	8558	4
L e s G e	5984	23428	5
L e x e	4320	9920	4
L e x t i	5472	23336	5
L i h i	4320	9920	4
L i h u	4032	8932	4
L i k a	3600	7450	4
L i X i	1440	5696	4
L i m P i	5760	23428	5
L i n g i	6656	24454	5
L i P u	4928	10220	4
L o q o	3510	7696	4
L o s G o	4862	17959	5
L o x e	3510	8438	4
L o x X a	2286	8776	5
