word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
A f t ee g r ee vj U r ee	1300226	24151400	11
ee f t O g r ee f	860456	7898618	8
ee f t ee g r ee fj I chj i s kj i j	1545014	56269061	15
ee f t ee g r A fj i j i	1111197	20516856	11
A f t ee g u zh ee v O j	1113367	20252148	11
ee f t ee dj i d A k t	1191326	17702799	10
A f t ee d ee j E nj i j i	1411844	28191912	12
A f t ee d ee r O zh nj i k	1705648	31605943	12
A f t ee d ee r O zh n i j	1738387	36342288	12
A f t ee d rj i zj I n ee	1736524	28271931	11
ee f t ee d r O m	1230271	9461498	8
ee f t ee zh I r	857640	6288572	7
A f t ee z ee v O t	1172707	12662092	9
ee f t ee z ee v O dj i ts	1573897	28646307	11
A f t ee z ee v O t s kj i j	1593910	40199037	13
A f t ee z ee v ee t s k O j	1687477	42085107	13
A f t ee z ee p r A v ee chj n i j	1820338	64176732	15
A f t ee z ee p r A f shshj i k	1569269	37309360	13
A f t ee i n s pj E k t ee r	1197732	33271452	13
A f t ee i n s pj E k t ee r	1197732	33271452	13
A f t ee i n s pj E k ts i j i	1171179	35261436	14
ee f t ee k A r	512080	4266410	7
ee f t ee k A r ee	644714	6733534	8
A f t ee k ee t A lj i s	1092179	20534074	11
A f t ee kj i f A lj i j i	1066515	22878194	12
ee f t ee kj i f A lj n i j	1090271	25630768	12
ee f t ee k l A f	727395	6943502	8
A f t ee k l U p	647941	5612982	8
A f t ee k ee l O n n ee	986983	17831108	11
A f t ee k ee m bj i n A t	890629	20006234	12
ee f t ee k r A n	710463	6628550	8
ee f t ee k r A t	752793	7415930	8
ee f t ee k r ee tj I chj i s kj i j	1507130	56111381	15
ee f t ee k r A tj i j i	1073613	20406696	11
A f t ee k r u zh O k	957654	13167420	10
ee f t O l	449340	1643669	5
A f t ee l A f k ee	886537	9340332	9
ee f t O lj i s	799364	5656089	7
A f t ee lj i t ee g r A fj i j i	1772309	60725044	15
A f t ee lj u bj I tj i lj	1306480	25318562	11
