projection	constraint	weight	observed	expected	plog	objective	heldoutPlog	regexp
default	[-low][-low][-low,-high]	12.304	0	0	24,783.957	24,784.037	null	(y|w|i|u|e|o)(y|w|i|u|e|o)(e|o)
default	[+syllabic,-back][+sonorant][+back,-high]	12.146	0	0	24,739.081	24,739.162	null	(i|a|e)(m|n|N|r|l|L|i|u|a|e|o)(o)
default	[+copy][][-low]	11.919	0	0	24,691.655	24,691.738	null	(X)(<#|#>|p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)(y|w|i|u|e|o)
default	[+wb][-back][+cg]	12.224	0	0	24,643.783	24,643.867	null	(<#|#>)(y|i|a|e)(b|d|z|g|G)
default	[+wb][+sonorant,-continuant,+dental][-low,-high]	12.294	0	0	24,598.806	24,598.892	null	(<#|#>)(n|r)(e|o)
default	[+wb][-low,-back,-high][+sonorant]	12.063	0	0	24,555.121	24,555.208	null	(<#|#>)(e)(m|n|N|r|l|L|i|u|a|e|o)
default	[+plain][][+cg]	12.23	0	0	24,512.335	24,512.424	null	(p|t|c|k|q)(<#|#>|p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)(b|d|z|g|G)
default	[+wb][-low,-high][-low]	12.056	0	0	24,467.97	24,468.06	null	(<#|#>)(e|o)(y|w|i|u|e|o)
default	[-low,-back][+sg][-low,-high]	12.071	0	0	24,426.442	24,426.533	null	(y|i|e)(P|T|C|K|Q|h)(e|o)
default	[+plain][][-continuant,+sg]	12.144	0	0	24,386.472	24,386.565	null	(p|t|c|k|q)(<#|#>|p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)(P|T|C|K|Q)
default	[-syllabic][-syllabic,+sonorant][-syllabic]	12.109	0	0	24,347.207	24,347.301	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(m|n|N|r|l|L)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)
default	[+wb][-high][+wb]	12.243	0	0	24,304.312	24,304.408	null	(<#|#>)(a|e|o)(<#|#>)
default	[+wb][-low,-high][-sonorant,+dental]	12.107	0	0	24,262.191	24,262.288	null	(<#|#>)(e|o)(t|d|T|s)
default	[+cg][][+cg]	12.075	0	0	24,221.213	24,221.312	null	(b|d|z|g|G)(<#|#>|p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)(b|d|z|g|G)
default	[-sonorant,-continuant][-syllabic][-low,-back]	11.893	0	0	24,187.262	24,187.362	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(y|i|e)
default	[+high][-nasal][-low,-high]	11.982	0	0	25,299.706	25,299.807	null	(y|w|i|u)(r|l|L)(e|o)
default	[+wb][-syllabic][+wb]	11.604	0	0	24,128.479	24,128.58	null	(<#|#>)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(<#|#>)
default	[+sonorant,-continuant,+palatal][][-back]	11.874	0	0	24,094.135	24,094.238	null	(N)(<#|#>|p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)(y|i|a|e)
default	[+wb][][+copy]	11.892	0	0	24,060.883	24,060.987	null	(<#|#>)(<#|#>|p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)(X)
default	[+syllabic,+back][+back][+wb]	11.891	0	0	24,027.324	24,027.429	null	(u|o)(w|u|o)(<#|#>)
default	[-syllabic][+labial][-low,-high]	11.83	0	0	23,996.334	23,996.441	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(p|b|P|m)(e|o)
default	[-low,-high][+velar][+high]	11.827	0	0	23,964.987	23,965.095	null	(e|o)(k|g|K)(y|w|i|u)
default	[+syllabic,-low,-back][-back][+wb]	11.807	0	0	23,933.516	23,933.625	null	(i|e)(y|i|a|e)(<#|#>)
default	[-low,-high][][+velar]	11.726	0	0	23,904.015	23,904.126	null	(e|o)(<#|#>|p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)(k|g|K)
default	[+wb][-low,-high][+labial]	11.758	0	0	23,874.222	23,874.334	null	(<#|#>)(e|o)(p|b|P|m)
