projection	constraint	weight	observed	expected	plog	objective	heldoutPlog	regexp
default	[+sonorant,-continuant,+palatal][][-back]	11.962	0	0	24,226.194	24,226.282	null	(N)(<#|#>|p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)(y|i|a|e)
default	[+high][-nasal][-low,-high]	12.016	0	0	24,192.011	24,192.101	null	(y|w|i|u)(r|l|L)(e|o)
default	[+syllabic,+back,+high][-sonorant][-low,-high]	11.789	0	0	24,157.845	24,157.936	null	(u)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h)(e|o)
default	[+wb][-low,-high][+labial]	11.658	0	0	24,126.373	24,126.466	null	(<#|#>)(e|o)(p|b|P|m)
default	[+syllabic,+back][+back][+wb]	11.887	0	0	24,094.581	24,094.675	null	(u|o)(w|u|o)(<#|#>)
default	[-syllabic][+labial][-low,-high]	11.855	0	0	24,064.155	24,064.25	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(p|b|P|m)(e|o)
default	[+syllabic,-low,-back][-back][+wb]	11.806	0	0	24,033.185	24,033.281	null	(i|e)(y|i|a|e)(<#|#>)
default	[-low,-high][+velar][+high]	11.788	0	0	24,003.359	24,003.457	null	(e|o)(k|g|K)(y|w|i|u)
default	[-wb][+continuant,+sg][-low,-high]	11.782	0	0	23,974.391	23,974.491	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)(h)(e|o)
default	[-back][+syllabic,-low,-back][-wb]	11.775	0	0	23,944.752	23,944.852	null	(y|i|a|e)(i|e)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)
default	[+wb][-low,-high][-continuant,+palatal]	11.772	0	0	23,914.695	23,914.796	null	(<#|#>)(e|o)(c|z|C|N)
default	[+back][+back][-sonorant,-continuant]	11.723	0	0	23,885.392	23,885.495	null	(w|u|o)(w|u|o)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q)
default	[+syllabic,+high][+uvular][-back]	11.705	0	0	23,857.928	23,858.033	null	(i|u)(q|G|Q|x)(y|i|a|e)
default	[-low,-high][][+velar]	11.712	0	0	23,829.911	23,830.016	null	(e|o)(<#|#>|p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)(k|g|K)
default	[-high][+labial][-low,-high]	11.553	0	0	23,805.785	23,805.892	null	(a|e|o)(p|b|P|m)(e|o)
