x	hx	logProbx	[]	[-sonorant,-ant]	[+sg]	[-nas,+lab]	[-sonorant,+ant]	[-cons,+cor]	[+sonorant,-cont]	[+cons,+dor]	[-high,-low]	[-sg,-ant]	[+cont,+voice,+cor]	[-voice,+ant,-secart]	[-syll,-nas][+cons]	[-syll][+wb]	[-low][+wb]	[+syll][+back]	[+wb][+syll]	[+syll,-low][+syll,-back]	[-syll,+sonorant][+cons,+sonorant]	[-syll][-voice]	[+cons,+sonorant,+dor][+sonorant]	[-nas][-delrel,+voice,-sg]	[-wb][+delrel,+lab]	[+wb][-syll,+sonorant]	[+cons,+lab][+low]	[+wb][+voice,-sg]	[+sonorant,-sg,+ant][+low]	[+high][][-high,-low]	[-high,-low][][+high]	[+low][][-high,-low]	[+wb][-nas,+dor][-back]	[-cont,+cor][-nas,+dor]	[-high,-back][][-high,-low,+back]	[-syll][+delrel,-sg]	[-delrel,+cor][][+wb]	[-ant][][+wb]	[-nas,+lab][][+wb]	[+delrel,+voice,+cor][][-sonorant]	violated_constraints
p i b w i mh a	-6.007	-14.984	9	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [-nas,+lab], [+sonorant,-cont], [-nas][-delrel,+voice,-sg], [+cons,+lab][+low], 
h o n d u zv a	-8.14	-17.117	9	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [+sg], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [+cont,+voice,+cor], [-ant][][+wb], 
p o n j e d a	-6.633	-15.61	9	1	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	[], [-sonorant,-ant], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [-nas][-delrel,+voice,-sg], [-delrel,+cor][][+wb], [+delrel,+voice,+cor][][-sonorant], 
h a n j i r a	-4.292	-13.269	9	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [+sg], [+sonorant,-cont], 
v u m b o nh a	-4.212	-13.189	9	0	1	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [-nas,+lab], [+sonorant,-cont], [-high,-low], [+wb][+voice,-sg], 
dh a m b a j a	-7.472	-16.448	9	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [+sg], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [+cons,+lab][+low], [-ant][][+wb], 
b u n z a tsv a	-6.755	-15.732	9	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [+cont,+voice,+cor], [+wb][+voice,-sg], [-ant][][+wb], 
dh u h w o ty a	-11.462	-20.439	9	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	[], [-sonorant,-ant], [+sg], [-nas,+lab], [-sonorant,+ant], [-high,-low], [-sg,-ant], [-delrel,+cor][][+wb], [-ant][][+wb], 
d a n z o sh a	-6.392	-15.368	9	1	0	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [+cont,+voice,+cor], [+wb][+voice,-sg], [-ant][][+wb], 
ts u n z i dh a	-7.84	-16.817	9	0	1	0	3	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	[], [+sg], [-sonorant,+ant], [+sonorant,-cont], [+cont,+voice,+cor], [-voice,+ant,-secart], [-delrel,+cor][][+wb], 
