x	hx	logProbx	[]	[-sonorant,-ant]	[+sg]	[-nas,+lab]	[-sonorant,+ant]	[-cons,+cor]	[+sonorant,-cont]	[+cons,+dor]	[-high,-low]	[-sg,-ant]	[+cont,+voice,+cor]	[-voice,+ant,-secart]	[-syll,-nas][+cons]	[-syll][+wb]	[-low][+wb]	[+syll][+back]	[+wb][+syll]	[+syll,-low][+syll,-back]	[-syll,+sonorant][+cons,+sonorant]	[-syll][-voice]	[+cons,+sonorant,+dor][+sonorant]	[-nas][-delrel,+voice,-sg]	[-wb][+delrel,+lab]	[+wb][-syll,+sonorant]	[+cons,+lab][+low]	[+wb][+voice,-sg]	[+sonorant,-sg,+ant][+low]	[+high][][-high,-low]	[-high,-low][][+high]	[+low][][-high,-low]	[+wb][-nas,+dor][-back]	[-cont,+cor][-nas,+dor]	[-high,-back][][-high,-low,+back]	[-syll][+delrel,-sg]	[-delrel,+cor][][+wb]	[-ant][][+wb]	[-nas,+lab][][+wb]	[+delrel,+voice,+cor][][-sonorant]	violated_constraints
pf o dzv u bh a	-11.153	-20.129	8	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	[], [-sonorant,-ant], [+sg], [-nas,+lab], [-high,-low], [+cons,+lab][+low], [-high,-low][][+high], [-nas,+lab][][+wb], [+delrel,+voice,+cor][][-sonorant], 
ny o bv a sh a	-8.499	-17.476	8	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-nas,+lab], [+sonorant,-cont], [-high,-low], [-sg,-ant], [-wb][+delrel,+lab], [+wb][-syll,+sonorant], [+cons,+lab][+low], [-ant][][+wb], 
nh a ch u zv a	-10.96	-19.937	8	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [+sg], [+sonorant,-cont], [+cont,+voice,+cor], [+wb][-syll,+sonorant], [-ant][][+wb], 
nh i y i ch a	-10.431	-19.407	8	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [+sg], [-cons,+cor], [+sonorant,-cont], [+wb][-syll,+sonorant], [-ant][][+wb], 
f i ny e dz a	-6.743	-15.719	8	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	[], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [-sg,-ant], [+high][][-high,-low], 
s o tsv e vh a	-9.163	-18.139	8	1	1	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [-sonorant,-ant], [+sg], [-nas,+lab], [-sonorant,+ant], [-high,-low], [-voice,+ant,-secart], [+cons,+lab][+low], [-nas,+lab][][+wb], 
ts i dy u pf a	-10.185	-19.162	8	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [-sonorant,-ant], [-nas,+lab], [-sonorant,+ant], [-sg,-ant], [-voice,+ant,-secart], [-nas][-delrel,+voice,-sg], [-wb][+delrel,+lab], [+cons,+lab][+low], [-nas,+lab][][+wb], 
f a g e h a	-9.36	-18.337	8	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	[], [+sg], [-nas,+lab], [+cons,+dor], [-high,-low], [-nas][-delrel,+voice,-sg], [+cons,+lab][+low], [+low][][-high,-low], 
dh u bh u n a	-6.969	-15.945	8	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [+sonorant,-sg,+ant][+low], 
ny a z u bh a	-9.451	-18.427	8	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [+sg], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [-sg,-ant], [+cont,+voice,+cor], [+wb][-syll,+sonorant], [+cons,+lab][+low], [-nas,+lab][][+wb], 
j o vh o nh a	-8.824	-17.801	8	1	2	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[], [-sonorant,-ant], [+sg], [-nas,+lab], [+sonorant,-cont], [-high,-low], [+delrel,+voice,+cor][][-sonorant], 
sh a pf o dh a	-12.298	-21.275	8	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	[], [-sonorant,-ant], [+sg], [-nas,+lab], [-sonorant,+ant], [-high,-low], [-wb][+delrel,+lab], [+low][][-high,-low], [-delrel,+cor][][+wb], 
mh i dzv o nh a	-13.467	-22.443	8	1	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [+sg], [+sonorant,-cont], [-high,-low], [+wb][-syll,+sonorant], [+high][][-high,-low], 
b u ny u v a	-4.976	-13.952	8	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	[], [-nas,+lab], [+sonorant,-cont], [-sg,-ant], [+cons,+lab][+low], [+wb][+voice,-sg], [-nas,+lab][][+wb], 
r u v u r a	-1.6	-10.576	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-nas,+lab], [+wb][-syll,+sonorant], 
vh o k u k a	-4.865	-13.841	8	0	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	[], [+sg], [-nas,+lab], [+cons,+dor], [-high,-low], [-high,-low][][+high], 
ty e t o k a	-16.353	-25.33	8	1	0	0	1	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [+cons,+dor], [-high,-low], [-sg,-ant], [-high,-back][][-high,-low,+back], 
dy a ch e N a	-12.478	-21.455	8	2	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [+sonorant,-cont], [+cons,+dor], [-high,-low], [-sg,-ant], [+cons,+sonorant,+dor][+sonorant], [+wb][+voice,-sg], [+low][][-high,-low], 
ch o tsv u bh a	-11.01	-19.987	8	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	[], [-sonorant,-ant], [+sg], [-nas,+lab], [-high,-low], [+cons,+lab][+low], [-high,-low][][+high], [-nas,+lab][][+wb], 
b i ch u d a	-5.807	-14.783	8	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	[], [-sonorant,-ant], [-nas,+lab], [-sonorant,+ant], [-nas][-delrel,+voice,-sg], [+wb][+voice,-sg], [-delrel,+cor][][+wb], 
ty e tsv e zv a	-9.896	-18.872	8	3	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-high,-low], [-sg,-ant], [+cont,+voice,+cor], [-ant][][+wb], 
v u ch e b a	-12.767	-21.744	8	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	[], [-sonorant,-ant], [-nas,+lab], [-high,-low], [-nas][-delrel,+voice,-sg], [+cons,+lab][+low], [+wb][+voice,-sg], [+high][][-high,-low], [-nas,+lab][][+wb], 
tsv o sv i v a	-8.489	-17.466	8	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	[], [-sonorant,-ant], [-nas,+lab], [-high,-low], [+cons,+lab][+low], [-high,-low][][+high], [-nas,+lab][][+wb], 
pf i mh o dzv a	-12.062	-21.039	8	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [+sg], [-nas,+lab], [+sonorant,-cont], [-high,-low], [+high][][-high,-low], [-ant][][+wb], 
w o v a r a	-2.981	-11.958	8	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-nas,+lab], [-high,-low], [+wb][-syll,+sonorant], [+cons,+lab][+low], 
zv i dzv a w a	-11.338	-20.315	8	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [-sonorant,-ant], [-nas,+lab], [+cont,+voice,+cor], [+syll][+back], [-nas,+lab][][+wb], 
g o bv u dz a	-4.788	-13.764	8	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	[], [-nas,+lab], [-sonorant,+ant], [+cons,+dor], [-high,-low], [-wb][+delrel,+lab], [+wb][+voice,-sg], [-high,-low][][+high], 
z o ty a ny a	-7.079	-16.056	8	1	0	0	1	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [-sg,-ant], [+cont,+voice,+cor], [-ant][][+wb], 
ny i v i g a	-3.57	-12.546	8	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-nas,+lab], [+sonorant,-cont], [+cons,+dor], [-sg,-ant], [-nas][-delrel,+voice,-sg], [+wb][-syll,+sonorant], 
v i r u tsv a	-4.759	-13.735	8	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-nas,+lab], [+wb][+voice,-sg], [-ant][][+wb], 
pf o bh u dzv a	-8.895	-17.872	8	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [+sg], [-nas,+lab], [-high,-low], [-high,-low][][+high], [-ant][][+wb], 
p a bh i z a	-6.307	-15.283	8	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [-nas,+lab], [-sonorant,+ant], [+cont,+voice,+cor], [+cons,+lab][+low], 
m a ny u tsv a	-6.322	-15.298	8	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [+sonorant,-cont], [-sg,-ant], [+wb][-syll,+sonorant], [+cons,+lab][+low], [-ant][][+wb], 
d i dh e N a	-12.06	-21.037	8	0	1	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	[], [+sg], [-sonorant,+ant], [+sonorant,-cont], [+cons,+dor], [-high,-low], [+cons,+sonorant,+dor][+sonorant], [+wb][+voice,-sg], [+high][][-high,-low], 
zv o zh e f a	-10.604	-19.581	8	2	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [-sonorant,-ant], [-nas,+lab], [-high,-low], [+cont,+voice,+cor], [+cons,+lab][+low], [-nas,+lab][][+wb], 
g o dh i vh a	-10.762	-19.738	8	0	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	[], [+sg], [-nas,+lab], [-sonorant,+ant], [+cons,+dor], [-high,-low], [+cons,+lab][+low], [+wb][+voice,-sg], [-high,-low][][+high], [-nas,+lab][][+wb], 
h a dy e N a	-13.74	-22.717	8	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [+sg], [+sonorant,-cont], [+cons,+dor], [-high,-low], [-sg,-ant], [+cons,+sonorant,+dor][+sonorant], [-nas][-delrel,+voice,-sg], [+low][][-high,-low], 
b u dh a mh a	-7.147	-16.124	8	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [+cons,+lab][+low], [+wb][+voice,-sg], 
f u dzv a mh a	-5.624	-14.601	8	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [+sg], [-nas,+lab], [+sonorant,-cont], [+cons,+lab][+low], 
f u s e sh a	-11.254	-20.23	8	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-nas,+lab], [-sonorant,+ant], [-high,-low], [-voice,+ant,-secart], [+high][][-high,-low], [-ant][][+wb], 
N u s a zh a	-11.591	-20.568	8	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [+sonorant,-cont], [+cons,+dor], [+cont,+voice,+cor], [-voice,+ant,-secart], [+cons,+sonorant,+dor][+sonorant], [+wb][-syll,+sonorant], [-ant][][+wb], 
ny o p i v a	-7.277	-16.254	8	0	0	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	[], [-nas,+lab], [+sonorant,-cont], [-high,-low], [-sg,-ant], [+wb][-syll,+sonorant], [+cons,+lab][+low], [-high,-low][][+high], [-nas,+lab][][+wb], 
dy o r o z a	-5.324	-14.3	8	1	0	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [-high,-low], [-sg,-ant], [+cont,+voice,+cor], [+wb][+voice,-sg], 
s u sv o nh a	-11.515	-20.492	8	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [+sg], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [-voice,+ant,-secart], [+high][][-high,-low], 
r o ty o ch a	-7.316	-16.292	8	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-high,-low], [-sg,-ant], [+wb][-syll,+sonorant], [-ant][][+wb], 
r e n i pf a	-7.761	-16.738	8	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	[], [-nas,+lab], [+sonorant,-cont], [-high,-low], [-wb][+delrel,+lab], [+wb][-syll,+sonorant], [+cons,+lab][+low], [-high,-low][][+high], [-nas,+lab][][+wb], 
s o t o s a	-3.567	-12.544	8	0	0	0	3	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,+ant], [-high,-low], [-voice,+ant,-secart], 
dz o mh o r a	-3.392	-12.368	8	0	1	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [+wb][+voice,-sg], 
nh u f a y a	-8.19	-17.166	8	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [-nas,+lab], [-cons,+cor], [+sonorant,-cont], [+wb][-syll,+sonorant], [+cons,+lab][+low], 
ts u ts e N a	-12.146	-21.123	8	0	0	0	2	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,+ant], [+sonorant,-cont], [+cons,+dor], [-high,-low], [-voice,+ant,-secart], [+cons,+sonorant,+dor][+sonorant], [+high][][-high,-low], 
mh a dz i zh a	-11.565	-20.542	8	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	[], [-sonorant,-ant], [+sg], [-sonorant,+ant], [+sonorant,-cont], [+cont,+voice,+cor], [+wb][-syll,+sonorant], [+cons,+lab][+low], [-ant][][+wb], [+delrel,+voice,+cor][][-sonorant], 
ny i ts o ty a	-14.965	-23.942	8	1	0	0	1	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [-sg,-ant], [-voice,+ant,-secart], [+wb][-syll,+sonorant], [+high][][-high,-low], [-delrel,+cor][][+wb], [-ant][][+wb], 
d u nh e ch a	-12.378	-21.355	8	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [+sg], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [+wb][+voice,-sg], [+high][][-high,-low], [-ant][][+wb], 
z u r o n a	-8.933	-17.909	8	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [+cont,+voice,+cor], [+sonorant,-sg,+ant][+low], [+high][][-high,-low], 
bh u t e b a	-12.834	-21.811	8	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	[], [+sg], [-nas,+lab], [-sonorant,+ant], [-high,-low], [-nas][-delrel,+voice,-sg], [+cons,+lab][+low], [+high][][-high,-low], [-nas,+lab][][+wb], 
ch a bh i d a	-7.6	-16.576	8	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	[], [-sonorant,-ant], [+sg], [-nas,+lab], [-sonorant,+ant], [-nas][-delrel,+voice,-sg], [-delrel,+cor][][+wb], 
g i m a v a	-6.73	-15.707	8	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	1	0	[], [-nas,+lab], [+sonorant,-cont], [+cons,+dor], [+cons,+lab][+low], [+wb][+voice,-sg], [+wb][-nas,+dor][-back], [-nas,+lab][][+wb], 
dzv a dh a g a	-7.033	-16.01	8	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[], [-sonorant,-ant], [+sg], [-sonorant,+ant], [+cons,+dor], [-nas][-delrel,+voice,-sg], [+delrel,+voice,+cor][][-sonorant], 
n o mh i dzv a	-9.124	-18.1	8	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [+sg], [+sonorant,-cont], [-high,-low], [+wb][-syll,+sonorant], [-high,-low][][+high], [-ant][][+wb], 
d e mh u w a	-11.025	-20.001	8	0	1	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	[], [+sg], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [+syll][+back], [+wb][+voice,-sg], [-high,-low][][+high], [-nas,+lab][][+wb], 
g e y a v a	-9.097	-18.074	8	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	[], [-nas,+lab], [-cons,+cor], [+cons,+dor], [-high,-low], [+cons,+lab][+low], [+wb][+voice,-sg], [+wb][-nas,+dor][-back], [-nas,+lab][][+wb], 
ny e zv o b a	-23.703	-32.68	8	1	0	1	0	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	[], [-sonorant,-ant], [-nas,+lab], [+sonorant,-cont], [-high,-low], [-sg,-ant], [+cont,+voice,+cor], [-nas][-delrel,+voice,-sg], [+wb][-syll,+sonorant], [+cons,+lab][+low], [-high,-back][][-high,-low,+back], [-nas,+lab][][+wb], 
N o zv a bv a	-12.858	-21.834	8	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [-sonorant,-ant], [-nas,+lab], [+sonorant,-cont], [+cons,+dor], [-high,-low], [+cont,+voice,+cor], [+cons,+sonorant,+dor][+sonorant], [-wb][+delrel,+lab], [+wb][-syll,+sonorant], [+cons,+lab][+low], [-nas,+lab][][+wb], 
nh u d u f a	-8.009	-16.985	8	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [+sg], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [-nas][-delrel,+voice,-sg], [+wb][-syll,+sonorant], [+cons,+lab][+low], [-nas,+lab][][+wb], 
zh a g a vh a	-10.544	-19.521	8	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [-sonorant,-ant], [+sg], [-nas,+lab], [+cons,+dor], [+cont,+voice,+cor], [-nas][-delrel,+voice,-sg], [+cons,+lab][+low], [-nas,+lab][][+wb], 
t u pf i y a	-5.367	-14.343	8	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-nas,+lab], [-sonorant,+ant], [-cons,+cor], [-wb][+delrel,+lab], 
dy e bv e n a	-6.881	-15.857	8	1	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [-nas,+lab], [+sonorant,-cont], [-high,-low], [-sg,-ant], [-wb][+delrel,+lab], [+wb][+voice,-sg], [+sonorant,-sg,+ant][+low], 
dzv e t e w a	-9.215	-18.191	8	1	0	1	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	[], [-sonorant,-ant], [-nas,+lab], [-sonorant,+ant], [-high,-low], [+syll][+back], [-nas,+lab][][+wb], [+delrel,+voice,+cor][][-sonorant], 
ch e m i N a	-6.869	-15.846	8	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [+sonorant,-cont], [+cons,+dor], [-high,-low], [+cons,+sonorant,+dor][+sonorant], [-high,-low][][+high], 
ts u dy u ny a	-7.986	-16.962	8	1	0	0	1	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [+sonorant,-cont], [-sg,-ant], [-voice,+ant,-secart], [-nas][-delrel,+voice,-sg], [-ant][][+wb], 
r i m i v a	-4.203	-13.18	8	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [-nas,+lab], [+sonorant,-cont], [+wb][-syll,+sonorant], [+cons,+lab][+low], [-nas,+lab][][+wb], 
ny o f i v a	-7.277	-16.254	8	0	0	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	[], [-nas,+lab], [+sonorant,-cont], [-high,-low], [-sg,-ant], [+wb][-syll,+sonorant], [+cons,+lab][+low], [-high,-low][][+high], [-nas,+lab][][+wb], 
dy o zv u y a	-12.032	-21.009	8	2	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [-cons,+cor], [-high,-low], [-sg,-ant], [+cont,+voice,+cor], [+wb][+voice,-sg], [-high,-low][][+high], 
g u zh e mh a	-13.358	-22.335	8	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [+sg], [+sonorant,-cont], [+cons,+dor], [-high,-low], [+cont,+voice,+cor], [+cons,+lab][+low], [+wb][+voice,-sg], [+high][][-high,-low], 
sv o f e t a	-3.937	-12.914	8	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	[], [-sonorant,-ant], [-nas,+lab], [-sonorant,+ant], [-high,-low], [-delrel,+cor][][+wb], 
sh a zh a p a	-8.554	-17.531	8	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [-sonorant,-ant], [-nas,+lab], [+cont,+voice,+cor], [+cons,+lab][+low], [-nas,+lab][][+wb], 
t o g o zv a	-6.908	-15.885	8	1	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [+cons,+dor], [-high,-low], [+cont,+voice,+cor], [-nas][-delrel,+voice,-sg], [-ant][][+wb], 
