projection	constraint	weight	observed	expected	plog	objective	heldoutPlog	regexp
default	[-low][-continuant,+palatal][-low,-high]	11.878	0	0	24,105.131	24,105.231	null	(y|w|i|u|e|o)(c|z|C|N)(e|o)
default	[+high][-nasal][-low,-high]	11.961	0	0	24,071.631	24,071.732	null	(y|w|i|u)(r|l|L)(e|o)
default	[+sonorant,-continuant,+palatal][][-back]	11.889	0	0	24,038.97	24,039.073	null	(N)(<#|#>|p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)(y|i|a|e)
default	[+syllabic,-low,-back][-back][+wb]	11.792	0	0	24,007.943	24,008.047	null	(i|e)(y|i|a|e)(<#|#>)
default	[+syllabic,+back][+back][+wb]	11.908	0	0	23,974.675	23,974.78	null	(u|o)(w|u|o)(<#|#>)
default	[+syllabic,+high][+uvular][-back]	11.843	0	0	23,943.756	23,943.863	null	(i|u)(q|G|Q|x)(y|i|a|e)
default	[-low,-high][+velar][+high]	11.787	0	0	23,912.873	23,912.981	null	(e|o)(k|g|K)(y|w|i|u)
default	[-sonorant,-continuant][-syllabic][-low,-back]	11.792	0	0	23,883.643	23,883.752	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(y|i|e)
default	[-syllabic][+labial][-low,-high]	11.794	0	0	23,853.538	23,853.648	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(p|b|P|m)(e|o)
default	[-back][+syllabic,-low,-back][-wb]	11.78	0	0	23,823.417	23,823.529	null	(y|i|a|e)(i|e)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)
default	[+velar][-low,-high][-wb]	11.742	0	0	23,794.065	23,794.178	null	(k|g|K)(e|o)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)
