x	hx	logProbx	[]	[+wb][+wb]	[+wb][+wb]	[-ant][]	[+sg]	[+high][-high]	[+wb][+back][+wb]	[-low][+wb]	[-wb][+lab]	[-syll,-cons]	[+ant,-secart][-wb]	[+sonorant,-cont]	[+wb][-back][+wb]	[+voice][-voice,+cor]	[+delrel,+lab]	[+wb][-back][+back]	[+cont,+voice][]	[+wb][+high,+back][+wb]	[-cont,+secart][]	[-syll,-nas][+cons]	[-high][+high,-back]	[+low][-low]	[-syll][+wb]	[+syll,+high][]	[-back][+back]	[-low][+low][+back]	[+wb][][+wb]	[+syll][+syll]	[-low][+wb]	[+wb][+syll,+back][-back]	[+wb][+syll]	[-syll][-voice]	[-syll,+sonorant][+cons,+sonorant]	[+cons,+sonorant,+dor][+sonorant]	[-nas][-delrel,+voice,-sg]	[-voice][-voice,+ant,-secart]	[-wb][-voice,+lab]	[+syll][+low]	[+sonorant,-ant][-syll,-nas]	[+lab][+cor]	[-nas][-ant]	[+dor][+cor]	[-cont,-sg,+lab][-high]	[+wb][-syll,+sonorant]	[+sonorant,-sg,+ant][+low]	[+syll,-low][-cons]	[+lab][][+wb]	[-low][-delrel,+cor][+low]	violated_constraints
dzv e b w e n a	-9.725	-18.668	9	0	0	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	[], [-ant][], [+high][-high], [-wb][+lab], [-syll,-cons], [+sonorant,-cont], [+wb][-back][+back], [-cont,+secart][], [-nas][-delrel,+voice,-sg], [+sonorant,-sg,+ant][+low], 
b a h w e w a	-14.078	-23.02	9	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	[], [+sg], [+high][-high], [-syll,-cons], [+low][-low], [-cont,-sg,+lab][-high], [+syll,-low][-cons], [+lab][][+wb], 
w i n z u p a	-7.973	-16.915	9	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	[], [-wb][+lab], [-syll,-cons], [+ant,-secart][-wb], [+sonorant,-cont], [+cont,+voice][], [+syll,+high][], [-wb][-voice,+lab], [+wb][-syll,+sonorant], [+lab][][+wb], 
w i n z o ny a	-7.976	-16.918	9	0	0	0	0	1	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	[], [+high][-high], [+wb][+back][+wb], [-syll,-cons], [+sonorant,-cont], [+cont,+voice][], [+syll,+high][], [+wb][][+wb], [-nas][-ant], [+wb][-syll,+sonorant], 
b i n d a k a	-0.59	-9.532	9	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sonorant,-cont], [+wb][-back][+wb], [+syll,+high][], 
tsv o s w e f a	-11.696	-20.638	9	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	[], [-ant][], [+high][-high], [-wb][+lab], [-syll,-cons], [+ant,-secart][-wb], [-cont,+secart][], [-voice][-voice,+ant,-secart], [-wb][-voice,+lab], [+lab][][+wb], 
v o n z o dy a	-10.671	-19.614	9	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	[], [-ant][], [+ant,-secart][-wb], [+sonorant,-cont], [+cont,+voice][], [-cont,+secart][], [-nas][-delrel,+voice,-sg], [-nas][-ant], [-low][-delrel,+cor][+low], 
w o b w a b a	-11.76	-20.703	9	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	1	0	[], [+high][-high], [+wb][+back][+wb], [-wb][+lab], [-syll,-cons], [-low][+low][+back], [-nas][-delrel,+voice,-sg], [-cont,-sg,+lab][-high], [+wb][-syll,+sonorant], [+lab][][+wb], 
dy a s w u zh a	-10.47	-19.412	9	0	0	2	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [-syll,-cons], [+ant,-secart][-wb], [+voice][-voice,+cor], [+cont,+voice][], [-cont,+secart][], [+syll,+high][], [-nas][-ant], 
m a k w o nh a	-11.423	-20.366	9	0	0	0	1	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	[], [+sg], [+high][-high], [+wb][+back][+wb], [-syll,-cons], [+sonorant,-cont], [+low][-low], [+wb][][+wb], [-cont,-sg,+lab][-high], [+wb][-syll,+sonorant], 
ts u g w u bh a	-7.764	-16.706	9	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [+sg], [-wb][+lab], [-syll,-cons], [+ant,-secart][-wb], [+syll,+high][], [-nas][-delrel,+voice,-sg], [+lab][][+wb], 
ny i s w a zh a	-8.489	-17.431	9	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	[], [-ant][], [-syll,-cons], [+ant,-secart][-wb], [+sonorant,-cont], [+wb][-back][+back], [+cont,+voice][], [+syll,+high][], [-nas][-ant], [+wb][-syll,+sonorant], 
tsv a h w o y a	-17.777	-26.72	9	0	0	1	1	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-ant][], [+sg], [+high][-high], [+wb][+back][+wb], [-syll,-cons], [-cont,+secart][], [-high][+high,-back], [+low][-low], [+syll,-low][-cons], 
t e n d u s a	-3.031	-11.973	9	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sonorant,-cont], [+voice][-voice,+cor], [+wb][-back][+back], [+syll,+high][], 
v u s w i h a	-7.912	-16.854	9	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [-syll,-cons], [+ant,-secart][-wb], [+voice][-voice,+cor], [+cont,+voice][], [+syll,+high][], 
j i h w u mh a	-10.168	-19.11	9	0	0	1	2	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [-ant][], [+sg], [-syll,-cons], [+sonorant,-cont], [+wb][-back][+back], [+syll,+high][], [+lab][][+wb], 
t o n z e d a	-6.272	-15.214	9	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	[], [+ant,-secart][-wb], [+sonorant,-cont], [+cont,+voice][], [+wb][+syll,+back][-back], [-nas][-delrel,+voice,-sg], [-low][-delrel,+cor][+low], 
z u N g e f a	-8.56	-17.502	9	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	[], [+high][-high], [-wb][+lab], [+ant,-secart][-wb], [+sonorant,-cont], [+cont,+voice][], [+syll,+high][], [+wb][+syll,+back][-back], [-wb][-voice,+lab], [+lab][][+wb], 
zv o b w i p a	-9.579	-18.521	9	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	[], [-ant][], [+wb][+back][+wb], [-wb][+lab], [-syll,-cons], [+cont,+voice][], [+syll,+high][], [-nas][-delrel,+voice,-sg], [-wb][-voice,+lab], [+lab][][+wb], 
k u k w e k a	-2.906	-11.848	9	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+high][-high], [-syll,-cons], [+syll,+high][], 
j a s w a m a	-6.179	-15.122	9	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	[], [-ant][], [-syll,-cons], [+sonorant,-cont], [+voice][-voice,+cor], [+wb][+high,+back][+wb], [-cont,-sg,+lab][-high], [+lab][][+wb], 
ts u m b a b a	-5.269	-14.211	9	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	[], [-wb][+lab], [+ant,-secart][-wb], [+sonorant,-cont], [+wb][+high,+back][+wb], [+syll,+high][], [-nas][-delrel,+voice,-sg], [-cont,-sg,+lab][-high], [+lab][][+wb], 
zh a s w u bh a	-10.434	-19.376	9	0	0	1	1	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [-ant][], [+sg], [-wb][+lab], [-syll,-cons], [+ant,-secart][-wb], [+voice][-voice,+cor], [+cont,+voice][], [+syll,+high][], [+lab][][+wb], 
v u n j o dy a	-12.095	-21.037	9	0	0	2	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	[], [-ant][], [+high][-high], [+wb][+back][+wb], [+sonorant,-cont], [+cont,+voice][], [-cont,+secart][], [+syll,+high][], [-nas][-delrel,+voice,-sg], [-nas][-ant], [-low][-delrel,+cor][+low], 
s u n z u f a	-6.993	-15.935	9	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	[], [-wb][+lab], [+ant,-secart][-wb], [+sonorant,-cont], [+cont,+voice][], [+syll,+high][], [-wb][-voice,+lab], [+lab][][+wb], 
j o n j u k a	-3.321	-12.263	9	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-ant][], [+wb][+back][+wb], [+sonorant,-cont], [+syll,+high][], 
m a n j o bh a	-10.924	-19.866	9	0	0	1	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	[], [-ant][], [+sg], [+wb][+back][+wb], [-wb][+lab], [+sonorant,-cont], [+low][-low], [-cont,-sg,+lab][-high], [+wb][-syll,+sonorant], [+lab][][+wb], 
ts i b w i v a	-8.065	-17.007	9	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [-wb][+lab], [-syll,-cons], [+ant,-secart][-wb], [+wb][-back][+back], [+cont,+voice][], [+syll,+high][], [-nas][-delrel,+voice,-sg], [+lab][][+wb], 
n a n d u s a	-4.275	-13.218	9	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	[], [+sonorant,-cont], [+voice][-voice,+cor], [+wb][+high,+back][+wb], [+syll,+high][], [+wb][-syll,+sonorant], [+sonorant,-sg,+ant][+low], 
zh e n j u ch a	-8.863	-17.805	9	0	0	3	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [+sonorant,-cont], [+voice][-voice,+cor], [+wb][-back][+back], [+cont,+voice][], [+syll,+high][], [-nas][-ant], 
y a n d u dz a	-3.544	-12.487	9	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	[], [-syll,-cons], [+sonorant,-cont], [+wb][-back][+back], [+syll,+high][], [+wb][-syll,+sonorant], 
ty u n d i g a	-5.095	-14.037	9	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-ant][], [+sonorant,-cont], [-cont,+secart][], [+syll,+high][], [+wb][+syll,+back][-back], [-nas][-delrel,+voice,-sg], 
nh o n d o mh a	-7.539	-16.482	9	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	[], [+sg], [+sonorant,-cont], [+wb][][+wb], [+wb][-syll,+sonorant], [+lab][][+wb], 
p i m w u k a	-2.633	-11.575	9	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-syll,-cons], [+sonorant,-cont], [+wb][-back][+back], [+syll,+high][], 
j a n d i sh a	-5.624	-14.566	9	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [+sonorant,-cont], [+wb][-back][+wb], [+voice][-voice,+cor], [+syll,+high][], [-nas][-ant], 
r i b w i dz a	-4.92	-13.862	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	[], [-syll,-cons], [+wb][-back][+back], [+syll,+high][], [-nas][-delrel,+voice,-sg], [+wb][-syll,+sonorant], 
dy e h w u v a	-10.715	-19.658	9	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [-ant][], [+sg], [-wb][+lab], [-syll,-cons], [+wb][-back][+back], [+cont,+voice][], [-cont,+secart][], [+syll,+high][], [+lab][][+wb], 
pf i N g a pf a	-6.148	-15.091	9	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	[], [-wb][+lab], [+sonorant,-cont], [+wb][-back][+wb], [+delrel,+lab], [+syll,+high][], [-wb][-voice,+lab], [+lab][][+wb], 
sh e n z i z a	-6.652	-15.594	9	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-ant][], [+ant,-secart][-wb], [+sonorant,-cont], [+cont,+voice][], [-high][+high,-back], [+syll,+high][], 
dz e m w u N a	-5.954	-14.896	9	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-syll,-cons], [+sonorant,-cont], [+wb][-back][+back], [+syll,+high][], [+wb][][+wb], [+cons,+sonorant,+dor][+sonorant], 
tsv i b w i s a	-8.308	-17.251	9	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-ant][], [-wb][+lab], [-syll,-cons], [+voice][-voice,+cor], [+wb][-back][+back], [-cont,+secart][], [+syll,+high][], [-nas][-delrel,+voice,-sg], 
sv u b w e zv a	-9.091	-18.033	9	0	0	2	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [+high][-high], [-wb][+lab], [-syll,-cons], [+cont,+voice][], [+syll,+high][], [-nas][-delrel,+voice,-sg], [-nas][-ant], 
bh i m w i g a	-6.514	-15.457	9	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [-syll,-cons], [+sonorant,-cont], [+wb][-back][+back], [+syll,+high][], [-nas][-delrel,+voice,-sg], 
sv o h w a z a	-8.192	-17.135	9	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-ant][], [+sg], [+wb][+back][+wb], [-syll,-cons], [+cont,+voice][], [-low][+low][+back], 
f e n j e sv a	-5.034	-13.976	9	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [+sonorant,-cont], [+voice][-voice,+cor], [-nas][-ant], 
s u s w o zh a	-11.961	-20.903	9	0	0	1	0	1	1	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [+high][-high], [+wb][+back][+wb], [-syll,-cons], [+ant,-secart][-wb], [+cont,+voice][], [+syll,+high][], [-voice][-voice,+ant,-secart], [-nas][-ant], 
zv o n j u k a	-4.721	-13.663	9	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-ant][], [+wb][+back][+wb], [+sonorant,-cont], [+cont,+voice][], [+syll,+high][], 
vh a m w u nh a	-7.753	-16.695	9	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [-syll,-cons], [+sonorant,-cont], [+cont,+voice][], [+syll,+high][], [+wb][][+wb], 
m u n d a pf a	-5.711	-14.654	9	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	[], [-wb][+lab], [+sonorant,-cont], [+delrel,+lab], [+wb][+high,+back][+wb], [+syll,+high][], [-wb][-voice,+lab], [+wb][-syll,+sonorant], [+lab][][+wb], 
j i k w i vh a	-9.061	-18.003	9	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [-ant][], [+sg], [-wb][+lab], [-syll,-cons], [+wb][-back][+back], [+cont,+voice][], [+syll,+high][], [+lab][][+wb], 
v i s w u sh a	-9.201	-18.143	9	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [-syll,-cons], [+ant,-secart][-wb], [+voice][-voice,+cor], [+wb][-back][+back], [+cont,+voice][], [+syll,+high][], [-nas][-ant], 
g e g w u r a	-4.008	-12.95	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-syll,-cons], [+wb][-back][+back], [+syll,+high][], [-nas][-delrel,+voice,-sg], 
m e k w a N a	-8.055	-16.997	9	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	[], [-syll,-cons], [+sonorant,-cont], [+wb][-back][+back], [-low][+low][+back], [+wb][][+wb], [+cons,+sonorant,+dor][+sonorant], [-cont,-sg,+lab][-high], [+wb][-syll,+sonorant], 
dz i n z a pf a	-8.722	-17.665	9	0	0	0	0	0	0	0	1	0	2	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	[], [-wb][+lab], [+ant,-secart][-wb], [+sonorant,-cont], [+wb][-back][+wb], [+delrel,+lab], [+cont,+voice][], [+syll,+high][], [-wb][-voice,+lab], [+lab][][+wb], 
d e m b e d a	-3.1	-12.043	9	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	[], [-wb][+lab], [+sonorant,-cont], [-nas][-delrel,+voice,-sg], [-cont,-sg,+lab][-high], [-low][-delrel,+cor][+low], 
ch i m b a sh a	-6.051	-14.994	9	0	0	2	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	[], [-ant][], [-wb][+lab], [+sonorant,-cont], [+wb][-back][+wb], [+voice][-voice,+cor], [+syll,+high][], [-nas][-ant], [-cont,-sg,+lab][-high], 
zh a n j o dzv a	-12.043	-20.985	9	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [+wb][+back][+wb], [+sonorant,-cont], [+cont,+voice][], [-cont,+secart][], [+low][-low], [-nas][-ant], 
ch a m b o ty a	-12.97	-21.912	9	0	0	2	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	[], [-ant][], [+wb][+back][+wb], [-wb][+lab], [+sonorant,-cont], [+voice][-voice,+cor], [-cont,+secart][], [+low][-low], [-nas][-ant], [-cont,-sg,+lab][-high], [-low][-delrel,+cor][+low], 
nh o s w o m a	-8.367	-17.309	9	0	0	0	1	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	[], [+sg], [+high][-high], [-syll,-cons], [+sonorant,-cont], [+wb][][+wb], [-cont,-sg,+lab][-high], [+wb][-syll,+sonorant], [+lab][][+wb], 
p o s w i dy a	-12.05	-20.993	9	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	[], [-ant][], [+wb][+back][+wb], [-syll,-cons], [+ant,-secart][-wb], [-cont,+secart][], [+syll,+high][], [-nas][-delrel,+voice,-sg], [-voice][-voice,+ant,-secart], [-nas][-ant], [-low][-delrel,+cor][+low], 
zv u m w u bv a	-6.714	-15.656	9	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	[], [-ant][], [-wb][+lab], [-syll,-cons], [+sonorant,-cont], [+delrel,+lab], [+cont,+voice][], [+syll,+high][], [-cont,-sg,+lab][-high], [+lab][][+wb], 
y e n z e N a	-8.538	-17.48	9	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	[], [+high][-high], [-syll,-cons], [+sonorant,-cont], [+cont,+voice][], [+wb][][+wb], [+cons,+sonorant,+dor][+sonorant], [+wb][-syll,+sonorant], 
zh e n z u mh a	-9.235	-18.177	9	0	0	1	1	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [-ant][], [+sg], [+sonorant,-cont], [+wb][-back][+back], [+cont,+voice][], [+syll,+high][], [+lab][][+wb], 
t e g w e k a	-5.689	-14.631	9	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+high][-high], [-syll,-cons], [+wb][-back][+back], [-nas][-delrel,+voice,-sg], 
j o m w a dz a	-4.286	-13.229	9	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-ant][], [+wb][+back][+wb], [-syll,-cons], [+sonorant,-cont], [-low][+low][+back], 
vh u n d u d a	-6.578	-15.521	9	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	[], [+sg], [+sonorant,-cont], [+cont,+voice][], [+syll,+high][], [-nas][-delrel,+voice,-sg], [-low][-delrel,+cor][+low], 
zh e m b o sv a	-21.073	-30.015	9	0	0	2	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	[], [-ant][], [-wb][+lab], [+sonorant,-cont], [+voice][-voice,+cor], [+wb][-back][+back], [+cont,+voice][], [-back][+back], [-nas][-ant], [-cont,-sg,+lab][-high], 
w a N g o j a	-10.762	-19.704	9	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	[], [-ant][], [+high][-high], [+wb][+back][+wb], [-syll,-cons], [+sonorant,-cont], [+low][-low], [-nas][-ant], [+wb][-syll,+sonorant], 
v u m w i m a	-4.668	-13.61	9	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	[], [-syll,-cons], [+sonorant,-cont], [+cont,+voice][], [+syll,+high][], [+wb][][+wb], [-cont,-sg,+lab][-high], [+lab][][+wb], 
